555884	Estudos Avançados em Artes ou Estudos Avançados em Artes, Literaturas e Culturas:História e Filosofia da Arte na Idade Média	9
555745	Seminário de Orientação I	30
555756	Seminário de Orientação II	30
555475	Teorias da Arte	9
555760	Tese	60
555701	Tópicos em Estudos de Dança	9
555692	Tópicos em Estudos de Música	9
555681	Tópicos em Estudos de Teatro	9
555670	Tópicos em Estudos Fílmicos	9
122446	Seminário de Orientação 1	30
122450	Seminário de Orientação 2	30
812210	Seminário de orientação I	30
812221	Seminário de orientação II	30
812153	Tese	60
410674	Dissertação	60
410652	Seminário de Orientação I	18
410663	Seminário de Orientação II	30
913572	Interarts Seminar	12
913571	Topics in Comparative Studies I	12
913573	Topics in Comparative Studies II	12
913574	Topics in Comparative Studies III	12
912966	Introdução à Investigação Avançada em Estudos de Teatro	12
122424	Seminário de Investigação I	30
122435	Seminário de Investigação II	30
912992	Seminário de Investigação	6
913006	Seminário de Orientação	24
913010	Seminário de Orientação	30
913054	Tese	0
311705	Seminário de Investigação III	24
311716	Tese	96
311685	Seminário de Investigação I	24
311696	Seminário de Investigação II	24
716834	Dissertação	60
716823	Estado da Arte e Novas Perspectivas	12
716860	Seminário de Investigação	12
716845	Seminário de Orientação I	12
716856	Seminário de Orientação II	12
715892	Coordenação do Projecto de Investigação I	12
715901	Coordenação do Projecto de Investigação II	12
716654	Tese	0
555330	Elaboração da Tese	120
812243	Seminário de Investigação 1	18
812254	Seminário de Investigação 2	30
717149	Seminário de Acompanhamento I	6
717150	Seminário de Acompanhamento II	6
717151	Seminário de Acompanhamento III	6
717152	Seminário de Acompanhamento IV	6
717153	Seminário de Acompanhamento V	6
717154	Seminário de Acompanhamento VI	6
717155	Tese I	24
717156	Tese II	24
717157	Tese III	24
717158	Tese IV	24
717159	Tese V	24
717160	Tese VI	24
